Layers,lambda,#Nodes,Epoch of min,Training loss,Validation loss
1,1e-09,5,998779,0.001324294367805123,0.001343413372524083
1,1e-06,5,990731,0.00133217335678637,0.001352154300548136
1,0.001,5,119347,0.01881640404462814,0.01872603036463261
1,1e-09,10,999887,0.0008482240955345333,0.0008257908630184829
1,1e-06,10,999153,0.00095639523351565,0.000927643442992121
1,0.001,10,585467,0.01453125756233931,0.01482033729553223
1,1e-09,30,999824,0.0005181476008147001,0.000487490848172456
1,1e-06,30,999724,0.0007913387380540371,0.0007491196738556027
1,0.001,30,7557,0.01097365189343691,0.01108492538332939
2,1e-09,5,999697,0.002598519437015057,0.002738649491220713
2,1e-06,5,999666,0.002812143415212631,0.002989446045830846
2,0.001,5,157123,0.02511582896113396,0.02528657764196396
2,1e-09,10,999831,0.001396076870150864,0.001415042672306299
2,1e-06,10,999758,0.001429658266715705,0.001456375583074987
2,0.001,10,1351,0.02492785640060902,0.02512821368873119
2,1e-09,30,999898,0.001230967114679515,0.001225689775310457
2,1e-06,30,999765,0.001281447126530111,0.001284055062569678
2,0.001,30,2252,0.02459109388291836,0.02477989718317986
3,1e-09,5,999941,0.004698027856647968,0.005058728624135256
3,1e-06,5,999935,0.005064545664936304,0.005409422796219587
3,0.001,5,984291,0.02511649765074253,0.02528631873428822
3,1e-09,10,999996,0.01220229268074036,0.01276621129363775
3,1e-06,10,999998,0.01352283824235201,0.0140813086181879
3,0.001,10,332575,0.02511719241738319,0.02528502605855465
3,1e-09,30,999398,0.00132645305711776,0.001327574136666954
3,1e-06,30,997962,0.001357864937745035,0.001365326810628176
3,0.001,30,964968,0.02512432262301445,0.02528253570199013
4,1e-09,5,999796,0.02280864864587784,0.02299491129815578
4,1e-06,5,999578,0.02387953549623489,0.02405484765768051
4,0.001,5,317092,0.02511679753661156,0.02528578042984009
4,1e-09,10,995606,0.02470383420586586,0.02488799765706062
4,1e-06,10,986989,0.02506500296294689,0.02522914484143257
4,0.001,10,879111,0.02511665970087051,0.02528520673513412
4,1e-09,30,999828,0.01722481660544872,0.01743724197149277
4,1e-06,30,999868,0.01899683475494385,0.01919420994818211
4,0.001,30,572211,0.02512449957430363,0.02528316155076027
5,1e-09,5,996203,0.02508592419326305,0.02525006048381329
5,1e-06,5,25283,0.02511818706989288,0.02528360672295094
5,0.001,5,697410,0.02511651068925858,0.02528540231287479
5,1e-09,10,783488,0.02511930651962757,0.02528016269207001
5,1e-06,10,86168,0.02512304857373238,0.02528323605656624
5,0.001,10,782750,0.02511638775467873,0.02528534829616547
5,1e-09,30,999447,0.0249404963105917,0.02510387077927589
5,1e-06,30,927614,0.02511981688439846,0.0252800714224577
5,0.001,30,649333,0.02512241899967194,0.02528333850204945
